tag 1,tag 2,destek,guven,lift
"frozenset({'ai', '2020'})",0.0070921985815602835,0.0070921985815602835,0.5,14.1
"frozenset({'artificial-intelligence', '2020'})",0.0070921985815602835,0.0070921985815602835,0.5,8.8125
"frozenset({'computer-vision', '2020'})",0.0070921985815602835,0.0070921985815602835,0.5,8.8125
"frozenset({'2020', 'deep-neural-networks'})",0.0070921985815602835,0.0070921985815602835,0.5,14.1
"frozenset({'graphql', '2020'})",0.0070921985815602835,0.0070921985815602835,0.5,14.1
"frozenset({'javascript', '2020'})",0.0070921985815602835,0.0070921985815602835,0.5,4.147058823529412
"frozenset({'machine-learning', '2020'})",0.0070921985815602835,0.0070921985815602835,0.5,4.40625
"frozenset({'react', '2020'})",0.0070921985815602835,0.0070921985815602835,0.5,3.710526315789474
"frozenset({'deep-learning', 'ai'})",0.028368794326241134,0.028368794326241134,0.7999999999999999,4.338461538461538
"frozenset({'machine-learning', 'ai'})",0.028368794326241134,0.028368794326241134,0.7999999999999999,7.05
"frozenset({'nlp', 'ai'})",0.014184397163120567,0.014184397163120567,0.5,14.1
"frozenset({'android', 'kotlin'})",0.028368794326241134,0.028368794326241134,0.6666666666666666,23.5
"frozenset({'python', 'api'})",0.02127659574468085,0.02127659574468085,0.6,4.4526315789473685
"frozenset({'artificial-intelligence', 'attention-mechanism'})",0.02127659574468085,0.02127659574468085,0.6,10.575
"frozenset({'artificial-intelligence', 'deep-learning'})",0.04964539007092199,0.04964539007092199,0.8750000000000001,4.745192307692308
"frozenset({'artificial-intelligence', 'php'})",0.0070921985815602835,0.0070921985815602835,0.5,8.8125
"frozenset({'attention-mechanism', 'deep-learning'})",0.03546099290780142,0.03546099290780142,1.0,5.423076923076923
"frozenset({'machine-learning', 'awesome'})",0.0070921985815602835,0.0070921985815602835,0.5,4.40625
"frozenset({'neural-network', 'awesome'})",0.0070921985815602835,0.0070921985815602835,0.5,23.5
"frozenset({'swift', 'awesome'})",0.0070921985815602835,0.0070921985815602835,0.5,8.8125
"frozenset({'swiftui', 'awesome'})",0.0070921985815602835,0.0070921985815602835,0.5,10.071428571428571
"frozenset({'docker', 'aws'})",0.014184397163120567,0.014184397163120567,0.5,11.75
"frozenset({'react', 'boilerplate'})",0.02127659574468085,0.02127659574468085,1.0,7.421052631578948
"frozenset({'reactjs', 'boilerplate'})",0.014184397163120567,0.014184397163120567,0.6666666666666666,13.428571428571427
"frozenset({'cli', 'golang'})",0.02127659574468085,0.02127659574468085,0.75,8.134615384615385
"frozenset({'computer-vision', 'deep-learning'})",0.03546099290780142,0.03546099290780142,0.6250000000000001,3.3894230769230775
"frozenset({'css', 'html'})",0.014184397163120567,0.014184397163120567,0.5,11.75
"frozenset({'css', 'javascript'})",0.028368794326241134,0.028368794326241134,0.6666666666666666,5.529411764705882
"frozenset({'css', 'php'})",0.0070921985815602835,0.0070921985815602835,0.5,11.75
"frozenset({'machine-learning', 'data-science'})",0.028368794326241134,0.028368794326241134,0.6666666666666666,5.875
"frozenset({'data-science', 'php'})",0.0070921985815602835,0.0070921985815602835,0.5,11.75
"frozenset({'deep-learning', 'deep-neural-networks'})",0.028368794326241134,0.028368794326241134,0.7999999999999999,4.338461538461538
"frozenset({'neural-network', 'deep-learning'})",0.02127659574468085,0.02127659574468085,1.0,5.423076923076923
"frozenset({'pytorch', 'deep-learning'})",0.05673758865248227,0.05673758865248227,0.7272727272727273,3.9440559440559446
"frozenset({'tensorflow', 'deep-learning'})",0.028368794326241134,0.028368794326241134,1.0,5.423076923076923
"frozenset({'transformer', 'deep-learning'})",0.02127659574468085,0.02127659574468085,0.75,4.0673076923076925
"frozenset({'game-engine', 'game-development'})",0.02127659574468085,0.02127659574468085,0.75,35.25
"frozenset({'go', 'golang'})",0.05673758865248227,0.05673758865248227,0.888888888888889,9.641025641025642
"frozenset({'golang', 'linux'})",0.014184397163120567,0.014184397163120567,0.5,5.423076923076923
"frozenset({'typescript', 'graphql'})",0.02127659574468085,0.02127659574468085,0.6,9.4
"frozenset({'python', 'hacking'})",0.014184397163120567,0.014184397163120567,0.6666666666666666,4.947368421052631
"frozenset({'html', 'javascript'})",0.028368794326241134,0.028368794326241134,1.0,8.294117647058824
"frozenset({'nodejs', 'html'})",0.014184397163120567,0.014184397163120567,0.5,5.875
"frozenset({'ios', 'macos'})",0.03546099290780142,0.03546099290780142,0.8333333333333334,13.055555555555557
"frozenset({'java', 'php'})",0.0070921985815602835,0.0070921985815602835,0.5,14.1
"frozenset({'laravel', 'javascript'})",0.0070921985815602835,0.0070921985815602835,1.0,8.294117647058824
"frozenset({'nodejs', 'javascript'})",0.0425531914893617,0.0425531914893617,0.5,4.147058823529412
"frozenset({'php', 'javascript'})",0.014184397163120567,0.014184397163120567,1.0,8.294117647058824
"frozenset({'laravel', 'php'})",0.0070921985815602835,0.0070921985815602835,1.0,70.5
"frozenset({'lua', 'neovim'})",0.02127659574468085,0.02127659574468085,0.75,35.25
"frozenset({'machine-learning', 'neural-network'})",0.014184397163120567,0.014184397163120567,0.6666666666666666,5.875
"frozenset({'machine-learning', 'php'})",0.0070921985815602835,0.0070921985815602835,0.5,4.40625
"frozenset({'tensorflow', 'machine-learning'})",0.02127659574468085,0.02127659574468085,0.75,6.609375
"frozenset({'nodejs', 'mongodb'})",0.02127659574468085,0.02127659574468085,0.75,8.8125
"frozenset({'nlp', 'transformer'})",0.014184397163120567,0.014184397163120567,0.5,17.625
"frozenset({'tensorflow', 'nodejs'})",0.014184397163120567,0.014184397163120567,0.5,5.875
